_id,id,href,name,description,lifecycleStatus,version,category,validFor,place,relatedParty,resourceSpecification,lastUpdate
60531f97197123179e4286ca,154903,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,"[{'id': '1d61b002-e350-4f7e-820b-94591a8ad0d4', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-09-27T00:00', 'startDateTime': '2020-03-6T00:00'}","[{'id': 'f3f32dcb-d30e-45f9-a2b4-c05ec19da345', '@referredType': 'Place', 'href': 'http://serverlocation:port/marketSales/place/12', 'geoLocationUrl': 'http://mymaps.com/YURZZ', 'address': 'Themistokleous 43, Athens Greece', 'role': 'default delivery', 'name': 'Athens Greece'}]","[{'id': 'ba07888c-06e8-453b-831c-276a8e8d69ec', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Boris Johnson', 'validFor': {'endDateTime': '2020-11-12T00:00', 'startDateTime': '2020-02-23T00:00'}}]","{'id': '11ff7dac-5107-42b9-a2b8-e13b12ecfa1a', 'href': 'string', 'category': 'edge storage', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': '3b0c995d-abdf-4049-ab83-aa3d682943b0', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The storage size of the edge resource expressed in GB.', 'congigurable': 'false', 'extensible': 'true', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'GB', 'value': 160, 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}]}",
60531f97197123179e4286cb,867973,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,"[{'id': '5da8f2c9-1cd6-4318-8b66-2f83fb1d6c1c', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}",virtual resource has no fixed location,"[{'id': 'dfccdfbc-0486-4d86-aaf4-9c59ca5ea4d1', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Wolfgang Amadeus', 'validFor': {'endDateTime': '2020-11-19T00:00', 'startDateTime': '2020-04-4T00:00'}}]","{'id': 'dbc65784-b28d-4676-b264-28acbd8d3fb0', 'href': 'string', 'category': 'edge storage', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'bd972110-0aaa-4667-8ad2-97e565cfd4f5', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The storage size of the edge resource expressed in GB.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'GB', 'value': 12, 'validFor': {'endDateTime': '2020-09-17T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-09-17T00:00', 'startDateTime': '2020-05-14T00:00'}}]}",
60531f97197123179e4286cc,154183,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,"[{'id': '6134ea04-dd9e-467d-87fa-9a5e36f1b385', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-09-27T00:00', 'startDateTime': '2020-03-6T00:00'}","[{'id': 'c9911b3a-5556-42da-8c3f-9aea6ee81a48', '@referredType': 'Place', 'href': 'http://serverlocation:port/marketSales/place/12', 'geoLocationUrl': 'http://mymaps.com/YURZZ', 'address': 'Calle Quijote 5, Madrid Spain', 'role': 'default delivery', 'name': 'Madrid Spain'}]","[{'id': '18600c04-6cfc-430d-b455-4a84ee5af75b', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Gustave Flaubert', 'validFor': {'endDateTime': '2020-11-12T00:00', 'startDateTime': '2020-02-23T00:00'}}]","{'id': 'f61024ce-8a0a-4f24-b306-1de1c433224a', 'href': 'string', 'category': 'edge network', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'f7b50e78-84f2-40f8-a115-e03bf742b557', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The network speed of the edge resource expressed in Mbps.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'Mbps', 'value': 100, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}",
60531f97197123179e4286cd,213054,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,"[{'id': '709b9c48-5a91-4d09-a67b-dbb7373a42ed', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-11-12T00:00', 'startDateTime': '2020-04-23T00:00'}",virtual resource has no fixed location,"[{'id': '2795674f-a184-49bd-a9e1-31b4d5770809', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Fiodor Dostojewski', 'validFor': {'endDateTime': '2020-11-7T00:00', 'startDateTime': '2020-03-6T00:00'}}]","{'id': '840311ce-35ef-44f3-9f1a-a10d40d9dbdc', 'href': 'string', 'category': 'edge storage', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'f785191a-739d-4164-ad0a-6070f14756ab', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The storage size of the edge resource expressed in GB.', 'congigurable': 'true', 'extensible': 'true', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'GB', 'value': 12, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}",
60531f97197123179e4286ce,51823,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,"[{'id': 'cf989c8c-1aad-42fa-b442-5da08c758bb3', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}","[{'id': 'f5fe428c-6c24-4d84-86ed-0cbb6bc00dc2', '@referredType': 'Place', 'href': 'http://serverlocation:port/marketSales/place/12', 'geoLocationUrl': 'http://mymaps.com/YURZZ', 'address': 'Calle Quijote 5, Madrid Spain', 'role': 'default delivery', 'name': 'Madrid Spain'}]","[{'id': '90cc020a-9e36-4b99-8201-b500f59a9f8b', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Wolfgang Amadeus', 'validFor': {'endDateTime': '2020-11-19T00:00', 'startDateTime': '2020-04-4T00:00'}}]","{'id': 'ae119733-738b-4454-95fd-53cb5723c8eb', 'href': 'string', 'category': 'edge network', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': '9e19527a-8537-48f8-b4e5-5465f8a54d14', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The network speed of the edge resource expressed in Mbps.', 'congigurable': 'false', 'extensible': 'false', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'Mbps', 'value': 100, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}",
60531f97197123179e4286cf,978120,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,"[{'id': '01a79deb-0e7f-4b2a-b78d-7ee2440b9acb', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}",virtual resource has no fixed location,"[{'id': 'fb347fd4-987e-4352-b2a1-d744ed986765', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Wolfgang Amadeus', 'validFor': {'endDateTime': '2020-11-19T00:00', 'startDateTime': '2020-04-4T00:00'}}]","{'id': 'ddb83e7a-3a4f-42fd-af38-5648eb6513e1', 'href': 'string', 'category': 'edge network', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'b0c58821-9992-488a-8c6f-8fd2357c1e6e', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The network speed of the edge resource expressed in Mbps.', 'congigurable': 'true', 'extensible': 'true', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'Mbps', 'value': 50, 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}]}",
60531f97197123179e4286d0,863567,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,"[{'id': '295c381b-e5e6-4acd-b8d2-c51b49f0d4bc', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}","[{'id': 'edb757a0-c044-486a-9f0e-6571f6afe29a', '@referredType': 'Place', 'href': 'http://serverlocation:port/marketSales/place/12', 'geoLocationUrl': 'http://mymaps.com/YURZZ', 'address': 'Themistokleous 43, Athens Greece', 'role': 'default delivery', 'name': 'Athens Greece'}]","[{'id': '6dcca382-3280-4c1c-9d82-25da731ade88', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Wolfgang Amadeus', 'validFor': {'endDateTime': '2020-11-12T00:00', 'startDateTime': '2020-02-23T00:00'}}]","{'id': '6219c6be-d6d2-4285-984b-706b1ed87e4e', 'href': 'string', 'category': 'edge network', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'f8857f46-91ec-4239-b356-a7baa1db7768', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The network speed of the edge resource expressed in Mbps.', 'congigurable': 'false', 'extensible': 'true', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'Mbps', 'value': 100, 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-08-19T00:00', 'startDateTime': '2020-05-14T00:00'}}]}",
60531f97197123179e4286d1,618608,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,"[{'id': '66dd74fa-5953-4d59-86f4-d752056aa117', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}",virtual resource has no fixed location,"[{'id': '1813a06d-1eea-440e-826c-4be9fd075a03', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Boris Johnson', 'validFor': {'endDateTime': '2020-11-12T00:00', 'startDateTime': '2020-02-23T00:00'}}]","{'id': '86ffe676-64cc-4bb9-8bd7-c18e2cca0c99', 'href': 'string', 'category': 'edge compute', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': '7e38e9c4-e42b-41a9-94e5-4e03ab5fcbfa', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The number of cpu cores of the edge resource.', 'congigurable': 'true', 'extensible': 'true', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': '', 'value': 4, 'validFor': {'endDateTime': '2020-09-17T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-09-17T00:00', 'startDateTime': '2020-05-14T00:00'}}, {'id': '85af2a8c-4a9c-4f3b-be57-2c7a333fdfc7', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The core cpu frequency (MHz) of the edge resource.', 'congigurable': 'true', 'extensible': 'false', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': 'MHz', 'value': 2400, 'validFor': {'endDateTime': '2020-09-17T00:00', 'startDateTime': '2020-05-14T00:00'}}], 'validFor': {'endDateTime': '2020-09-17T00:00', 'startDateTime': '2020-05-14T00:00'}}]}",
60531f97197123179e4286d2,757644,edgeResourceDID,physical node,EDGE resource (physical),Active,v2,"[{'id': 'ea62dbe1-698b-4f7f-bbbc-6e0ca20fad9f', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}","[{'id': 'e2d40c7c-3c54-4e26-8aad-14d231f99249', '@referredType': 'Place', 'href': 'http://serverlocation:port/marketSales/place/12', 'geoLocationUrl': 'http://mymaps.com/YURZZ', 'address': 'new york road 2, Madrid Spain', 'role': 'default delivery', 'name': 'Madrid Spain'}]","[{'id': 'e5233f10-262d-49f4-af42-3c06451d5f04', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Boris Johnson', 'validFor': {'endDateTime': '2020-11-19T00:00', 'startDateTime': '2020-04-4T00:00'}}]","{'id': 'fe3a94e0-0459-4822-b998-27e7f3d2c206', 'href': 'string', 'category': 'edge storage', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': 'c7ef43fe-f4e3-4c34-98b1-5da360de63c0', 'name': 'memory', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The storage size of the edge resource expressed in GB.', 'congigurable': 'false', 'extensible': 'true', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'true', 'unitOfMeasure': 'GB', 'value': 12, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}",
60531f97197123179e4286d3,634904,edgeResourceDID,virtual node,EDGE resource (virtual),Active,v2,"[{'id': '789a23c5-216c-4223-a921-81db39d7f8cd', 'href': 'http://serverlocation:port/catalogManagement/category/12', 'version': '2.0', '@referredType': 'Category', 'name': 'Edge offerings'}]","{'endDateTime': '2020-10-19T00:00', 'startDateTime': '2020-05-3T00:00'}",virtual resource has no fixed location,"[{'id': '89f0cf40-4225-4db1-b6aa-91afb0c28e21', 'href': 'http://serverLocation:port/partyManagement/partyRole/1234', 'role': 'Owner', 'name': 'Gustave Flaubert', 'validFor': {'endDateTime': '2020-11-7T00:00', 'startDateTime': '2020-03-6T00:00'}}]","{'id': '27fc0eaa-2567-40a5-b3b5-af0f0d637572', 'href': 'string', 'category': 'edge compute', 'name': 'edgeResourceSpec', 'description': 'edgeResourceSpec.', 'version': 'v1', 'resourceSpecCharacteristic': [{'id': '050b4f93-b548-48ed-8676-661448fd982b', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The number of cpu cores of the edge resource.', 'congigurable': 'true', 'extensible': 'true', 'isUnique': 'false', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': '', 'value': 2, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}, {'id': '828d5f46-25d9-4e58-b5a1-e2c754615ce5', 'name': 'coreFrequency', '@type': 'ResourceCategory', '@baseType': 'Category', 'version': '1.0', 'description': 'The core cpu frequency (MHz) of the edge resource.', 'congigurable': 'true', 'extensible': 'true', 'isUnique': 'true', 'valueType': 'numeric', 'resourceSpecCharacteristicValue': [{'@type': 'ResourceCategory', '@baseType': 'Category', 'isDefault': 'false', 'unitOfMeasure': 'MHz', 'value': 2400, 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}], 'validFor': {'endDateTime': '2020-06-13T00:00', 'startDateTime': '2020-05-23T00:00'}}]}",
